原力频道,#genre#
HKC603,mitv://ns2.hellotvvod.com:9906/afb802be289248e7a59bbe66b7b716a2
HKCSportsPlus1,mitv://ns2.hellotvvod.com:9906/49be8d033cac4b1a9f62556d0c4d6664
HKC财经资讯台,mitv://ns2.hellotvvod.com:9906/ffc64306a1c9485898c52d9a94e49fe1
HKC电影台,mitv://ns2.hellotvvod.com:9906/ad3cebc4242c4692a543a27f8113b932
HKC体育台,mitv://ns2.hellotvvod.com:9906/69318c0a11724f84b52531c62fbb9afc
HKC新闻台,mitv://ns2.hellotvvod.com:9906/51c45f0db68c40eaab9edec9aa9e38ab
HKC直播新闻台,mitv://ns2.hellotvvod.com:9906/5878f89454a34cdeac2e6aa376f2db49
HKC综合娱乐台,mitv://ns2.hellotvvod.com:9906/38f258cee2ae485fb1b2e67800d7baea
NOW剧集,mitv://ns2.hellotvvod.com:9906/b915592e70da4cc9acca20d187da4bce
now新闻台,mitv://ns2.hellotvvod.com:9906/cdc09a8cfa3b4b01bae24e8b9c9bc00f
now直播台,mitv://ns2.hellotvvod.com:9906/16c0186ef8f445db997ff5038609deae
ViuTV,mitv://ns2.hellotvvod.com:9906/8b2474277a42401390813068c642e390
ViuTVsix,mitv://ns2.hellotvvod.com:9906/a41f7686313a40c99d70e40021f6b5e1
港台电视31,mitv://ns2.hellotvvod.com:9906/f937e46ace204b39867ecf97830cbccd
港台电视32,mitv://ns2.hellotvvod.com:9906/f8d800e3ca3e489282d8148aa110506b
非凡商业台,mitv://ns2.hellotvvod.com:9906/30277b56d25041b286d48fcf7fed46f5
非凡新闻台,mitv://ns2.hellotvvod.com:9906/ccca1ca6bb3c4af4a89e13cbbb309f91
香港开电视,mitv://ns2.hellotvvod.com:9906/470976e04f0a4fb594c427c44b67fef0
星空卫视,mitv://ns2.hellotvvod.com:9906/473ff201fab6491eb63824e23a1a3a31
星卫电影台,mitv://ns2.hellotvvod.com:9906/17fb38b579b24857a6986151ffe97155
星卫娱乐台,mitv://ns2.hellotvvod.com:9906/a0ffb629e01d4efdba7f240f74347f36
阳光卫视,mitv://ns2.hellotvvod.com:9906/6b7c628389e7448484ce0d7ef89b1f7c
TLC旅游生活,mitv://ns2.hellotvvod.com:9906/df3c8d2c1a38422abb36710efd9acf66
亚洲旅游台,mitv://ns2.hellotvvod.com:9906/43b25dee86ca4309a8c7fd22e723cf1b
亚洲美食频道,mitv://ns2.hellotvvod.com:9906/c3c6af00613e456eac023ab2f1cbbe7c
粤语片台,mitv://ns2.hellotvvod.com:9906/54189aa34eb2442ab0e509336d0fe6bd
MACAU,mitv://ns2.hellotvvod.com:9906/d0bdd6dd2e3747ed9611bc286a157d4f
澳门莲花,mitv://ns2.hellotvvod.com:9906/c55c6ac182ab4cb38992449f6d155d81
TVBS,mitv://ns2.hellotvvod.com:9906/d1bdb5f9c9254278b6d11b52ed1ff945
TVBS欢乐台,mitv://ns2.hellotvvod.com:9906/521f6d66cd58414ab968ddc75d7dbc2d
TVBS精采台,mitv://ns2.hellotvvod.com:9906/c254c362efcd4043bd76c63c9e066c2b
TVBS新闻台,mitv://ns2.hellotvvod.com:9906/e0ceb76e8d45451c9d51d1fa9756cebf
TVBS亚洲,mitv://ns2.hellotvvod.com:9906/204f1a7dd0bd49f3bcdab6092528b84e
东森财经新闻台,mitv://ns2.hellotvvod.com:9906/d0cfcb735f504ddf821a4efc4e0a05a7
东森超视,mitv://ns2.hellotvvod.com:9906/d5d68c88fb5444f39dffe03bb0578194
东森电影台,mitv://ns2.hellotvvod.com:9906/b4fb194ef467469089f2c5a267732db1
东森戏剧台,mitv://ns2.hellotvvod.com:9906/57508416ce8c45ba9ffeaf6e3f8c481a
东森新闻台,mitv://ns2.hellotvvod.com:9906/f3c4a637dc624604b55aa845bc6c4a74
东森亚洲卫视,mitv://ns2.hellotvvod.com:9906/cb5d07e7d7494b588832a72fc666ab44
东森洋片台,mitv://ns2.hellotvvod.com:9906/8a6ad59eb9784dcdb0cbcfcd5c71c885
东森幼幼台,mitv://ns2.hellotvvod.com:9906/5ea5aaf1275548958479a0df7a5e371a
东森综合台,mitv://ns2.hellotvvod.com:9906/667b5bf74960477bb49a2946f6f5bbb8
高点综合台,mitv://ns2.hellotvvod.com:9906/001876c6c3684490816cf650767f13a8
公视,mitv://ns2.hellotvvod.com:9906/02024947c1e44447aebe6a07f14901a9
公视3台,mitv://ns2.hellotvvod.com:9906/aea90a146e5f4b2e8f75fe120374c0c6
公视台语台,mitv://ns2.hellotvvod.com:9906/f39a590a110d4fdabf8b31bf39880362
寰宇新闻台,mitv://ns2.hellotvvod.com:9906/70d6351ba1004623afb5177c203f44fc
寰宇新闻台湾台,mitv://ns2.hellotvvod.com:9906/451a05bbd7a44ec6b64a892e9d3679a4
民视(备),mitv://ns2.hellotvvod.com:9906/6f3f4b5b7e3d4c809c84791f836e1785
民视,mitv://ns2.hellotvvod.com:9906/37145737789d420887f8c9b232d0d849
民视第一台,mitv://ns2.hellotvvod.com:9906/da5723314b9d4c248998f7f534e226a2
民视台湾台,mitv://ns2.hellotvvod.com:9906/17daf026ffcc41d1af9b45baa3e7d4d3
民视新闻台,mitv://ns2.hellotvvod.com:9906/0b0cb3a6e5534a4c8c32eada573dcbd7
三立iNEWS,mitv://ns2.hellotvvod.com:9906/7784c17b784c4c789b732b29cbe46d45
三立都会台,mitv://ns2.hellotvvod.com:9906/94aca3421d924a4d88f08da60985de24
三立台湾台(备),mitv://ns2.hellotvvod.com:9906/7726589c225044d4a4f0b75d22e91e79
三立台湾台,mitv://ns2.hellotvvod.com:9906/4c7937e694234022bae90e56076261ad
三立戏剧台,mitv://ns2.hellotvvod.com:9906/6cb555e0a42a406b87cb9783c947221a
三立新闻台,mitv://ns2.hellotvvod.com:9906/f5d15422e1544fbba550e25d5406ed0b
三立综合台,mitv://ns2.hellotvvod.com:9906/390fdd768d914d26ad557ec08b108381
台视,mitv://ns2.hellotvvod.com:9906/17bf2a1a7d3a4173bd05f73dc2f9d789
台视财经台,mitv://ns2.hellotvvod.com:9906/7f4245fab21f44d4a01a9672c5d07e06
台视新闻台,mitv://ns2.hellotvvod.com:9906/546c0a650bc2463a8d0da2056198fd63
中视,mitv://ns2.hellotvvod.com:9906/0367ffc514664e84afd4636d8d6e860c
中视经典台,mitv://ns2.hellotvvod.com:9906/e49743a838f94e71b197321067d75444
中视菁采台,mitv://ns2.hellotvvod.com:9906/e0957ba485d04412809eb22bf919f31c
中视新闻台,mitv://ns2.hellotvvod.com:9906/90d6ebc9e5634a7ea208d32d8b875eac
中天新闻台,mitv://ns2.hellotvvod.com:9906/d7b448374c7e40898a515421389f97d4
中天亚洲台,mitv://ns2.hellotvvod.com:9906/836812281d2c47ce93f3ac8c3177be50
中天娱乐台,mitv://ns2.hellotvvod.com:9906/7e9659e143af4752948ce15d490ae634
中天综合台,mitv://ns2.hellotvvod.com:9906/091b28e656ac4dfa88bb29930d2a606a
华视,mitv://ns2.hellotvvod.com:9906/7193c88128364de79b3105ad216d0346
华视新闻,mitv://ns2.hellotvvod.com:9906/f61ea6512058435fb78786042b1bcf4b
壹电视电影台,mitv://ns2.hellotvvod.com:9906/beb1bbbd79074875a11ae947efbdf060
壹电视新闻台,mitv://ns2.hellotvvod.com:9906/4954485619a54ecfb641577546d8a591
壹电视综合,mitv://ns2.hellotvvod.com:9906/35695f6618304279906d5ede523c7ce8
年代新闻,mitv://ns2.hellotvvod.com:9906/0dfd916cb908440b9b5b5b63937ab71c
国兴卫视,mitv://ns2.hellotvvod.com:9906/2a6d724e50124559a6a5624fb0cb8acd
霹雳台湾台,mitv://ns2.hellotvvod.com:9906/42dfe073dae34b14a078cde546fba306
客家电视台,mitv://ns2.hellotvvod.com:9906/341a6c5aee1e44a88d4503582dd5537c
卫视电影台,mitv://ns2.hellotvvod.com:9906/0c8695bb13dd46ccab6204aeb8d99660
卫视中文台,mitv://ns2.hellotvvod.com:9906/b132b9bc6b894901a8f02ca78a458dbb
影迷数位电影台,mitv://ns2.hellotvvod.com:9906/f0c6fb0ff86a40b0bc9e752e11ea9977
MOMO亲子台,mitv://ns2.hellotvvod.com:9906/77455ff016634bb69ec6f49e64d19930
ELTV生活英语台,mitv://ns2.hellotvvod.com:9906/fc2f9a0a17c944538653535c31391482
ETtoday综合台,mitv://ns2.hellotvvod.com:9906/5e09cca699a342a1b03c6253d4a8f331
KLT-靖天国际台,mitv://ns2.hellotvvod.com:9906/c46a12c1181d4a9bb62b95c066be87db
NiceTV靖天欢乐台,mitv://ns2.hellotvvod.com:9906/b3204286a562469bb82a157b9e19a295
爆谷台,mitv://ns2.hellotvvod.com:9906/949dadb069e54de5884c8bbf6b99a0c6
原住民电视台,mitv://ns2.hellotvvod.com:9906/d1e5184668464083ba1deab0b49434bb
八大第一台,mitv://ns2.hellotvvod.com:9906/77380094708340ac99e4a958c088533d
八大戏剧台,mitv://ns2.hellotvvod.com:9906/6d91f90934d94c61abcfc8e43dacccf6
八大优频道,mitv://ns2.hellotvvod.com:9906/f160f8b7b8c54fccb47fe5b3301aac2a
八大娱乐台,mitv://ns2.hellotvvod.com:9906/9d290db0568b4f318dcf41edc3bb95c2
八大综合台,mitv://ns2.hellotvvod.com:9906/a07c65940eb94738b352b554b784c25b
ELEVEN体育1台,mitv://ns2.hellotvvod.com:9906/cd9530b6c34749439e961cd52d2fef00
ELEVEN体育2台,mitv://ns2.hellotvvod.com:9906/6c3ff3535d2b4c69bbcfe94e90df2730
ELEVEN体育PLUS,mitv://ns2.hellotvvod.com:9906/90ca1fb937da4b079e2e7ffccc5e760c
爱尔达体育1台(备),mitv://ns2.hellotvvod.com:9906/028186b80ee742baa3b0c3ba1ca6f013
爱尔达体育1台,mitv://ns2.hellotvvod.com:9906/bb8a4b4ef8f4490586e4a195286d6865
爱尔达体育2台(备),mitv://ns2.hellotvvod.com:9906/e7517c796ed04f4295d6b977ea0250cd
爱尔达体育2台,mitv://ns2.hellotvvod.com:9906/ac22ae1744c84baa8bb1e8bb9ae636da
爱尔达体育3台(备),mitv://ns2.hellotvvod.com:9906/70405affe0e641888de5f0c71b8558ca
爱尔达体育3台,mitv://ns2.hellotvvod.com:9906/e6b2b5c4fc5445b4bc1b0171ed18aaaa
爱尔达影剧台,mitv://ns2.hellotvvod.com:9906/2b6029ef5df04344b29a421937f3600f
爱尔达综合台,mitv://ns2.hellotvvod.com:9906/fde9f07931c64b8caeeda596835d9cd7
博斯高球,mitv://ns2.hellotvvod.com:9906/b3ef79868e3e486595c9d24a22e48261
博斯高球二台,mitv://ns2.hellotvvod.com:9906/d06ef9ff95844798a0cfa252fea4564a
博斯魅力网,mitv://ns2.hellotvvod.com:9906/7b182c90a4d440feac5a9f9638d50223
博斯网球台,mitv://ns2.hellotvvod.com:9906/c53194a32a1440b697a5e4bd5aefcbb9
博斯无限二台,mitv://ns2.hellotvvod.com:9906/89bd015ae4764af2a79b9cca01080c51
博斯无限台,mitv://ns2.hellotvvod.com:9906/060ce59f1ecf4882a9dadff5f432c19f
博斯运动,mitv://ns2.hellotvvod.com:9906/f8422d3da42f4f508ee5060ebff19bd0
博斯运动二台,mitv://ns2.hellotvvod.com:9906/c762cbc365414f5b879bace32c5acb2a
Mediacorp5,mitv://ns2.hellotvvod.com:9906/29e504fb771f4d41b6ae96bb36b8c49a
Mediacorp8,mitv://ns2.hellotvvod.com:9906/a2adeded9c5d40a9bbb70b079b77d2df
MediacorpU,mitv://ns2.hellotvvod.com:9906/75b72132e16d427b9f2f01541b89b949
CNA,mitv://ns2.hellotvvod.com:9906/ad62d84a2e734a4dbcc4b620100033e4
Vasantham,mitv://ns2.hellotvvod.com:9906/6009aa7c0d3644c4ac34bc2562439077
Suria,mitv://ns2.hellotvvod.com:9906/bd1ce1187ca3422eb25def4694662de4
8TV,mitv://ns2.hellotvvod.com:9906/6b7bfdd4117f4723b81b45a41b1daf1e
Al-Hijrah,mitv://ns2.hellotvvod.com:9906/1645da922771498cb69e845778fadb33
AstroAEC,mitv://ns2.hellotvvod.com:9906/26db987d156749b3aa687e3c974d1a64
AstroAEC2,mitv://ns2.hellotvvod.com:9906/51b52f447fda45378b1bb0d44a2480ec
AstroAOD352,mitv://ns2.hellotvvod.com:9906/f15cbf3878864ced90e7ade17310ffe7
AstroAOD353,mitv://ns2.hellotvvod.com:9906/ed61718ce8874b36be661dfe1010dd74
AstroAOD354,mitv://ns2.hellotvvod.com:9906/004957812ce14373b8adc0422faa775d
AstroAOD355,mitv://ns2.hellotvvod.com:9906/4e6943bded5247b582b78ea32aa0d57e
AstroAODHD311,mitv://ns2.hellotvvod.com:9906/bba671c9774f418497219e85eaae4466
AstroArena,mitv://ns2.hellotvvod.com:9906/5c70c832d10f4b49879633dab1b43616
AstroArena2,mitv://ns2.hellotvvod.com:9906/dea566c69fda4f6c97c23aa0ead5320b
AstroAuraHD,mitv://ns2.hellotvvod.com:9906/d2f00109e6ca4f1c935eefaa82b30fb7
AstroAwani,mitv://ns2.hellotvvod.com:9906/bbe69795210a4fbe907bdfcce49793b6
AstroCeria,mitv://ns2.hellotvvod.com:9906/bb35635f92ca4c69a62aee7da5ffcb5b
AstroCitraHD,mitv://ns2.hellotvvod.com:9906/f570a042354345b6b0a71a5fffc2fac2
AstroCricket,mitv://ns2.hellotvvod.com:9906/373b146d21d441a683672445d194ccad
AstroOasisHD,mitv://ns2.hellotvvod.com:9906/053ea7df19f64c238235a93e15a5b69d
AstroPrimaHD,mitv://ns2.hellotvvod.com:9906/98a9a8c867ec4ee3aa18ba38e656dec8
AstroRaniaHD,mitv://ns2.hellotvvod.com:9906/62b41c11a9574d4a8ae72d8fe6a999a4
AstroRiaHD,mitv://ns2.hellotvvod.com:9906/d08c69f7374a4aff89a678f85001bc5a
AstroSuperSport,mitv://ns2.hellotvvod.com:9906/46c1874db98e44e2897b3b666f63e5b3
AstroSuperSport2,mitv://ns2.hellotvvod.com:9906/e7a877e3655648e595b28b29f1518692
AstroSuperSport3,mitv://ns2.hellotvvod.com:9906/556ebf04baa340a98fff40f9e7d75ea8
AstroSuperSport4,mitv://ns2.hellotvvod.com:9906/d34a9e12e4ce4fb2831e4e9e1ce3b465
AstroSuperSport5,mitv://ns2.hellotvvod.com:9906/9bd1e201633648379bb551756fbe8e1f
AstroTutorTVPT3,mitv://ns2.hellotvvod.com:9906/b75440c9b554429aa28045a7539325cc
AstroTutorTVSK,mitv://ns2.hellotvvod.com:9906/9b02988f0b0d40c4bfd6776711828407
AstroTutorTVSPM,mitv://ns2.hellotvvod.com:9906/a32dfb01f4b5481d89567e4ca3f16b15
AstroVaanavil,mitv://ns2.hellotvvod.com:9906/49fb40c331e3491298e50ec689d698d4
AstroVinmeen,mitv://ns2.hellotvvod.com:9906/2c794a087c324522b1c03574cd2101cd
AstroWarnaHD,mitv://ns2.hellotvvod.com:9906/2bcc414c10954b868c5a73221293d54a
Astro欢喜台(备),mitv://ns2.hellotvvod.com:9906/0b72c0256d614c948fcbe93b1f97f6d5
Astro欢喜台,mitv://ns2.hellotvvod.com:9906/e8e8cd8584e14b6e8b83d58df4f01675
Astro全佳,mitv://ns2.hellotvvod.com:9906/c7945049fd8643c782410d15cc3984ad
Astro双星,mitv://ns2.hellotvvod.com:9906/6e93d77607e146feae36fa897222fbaf
Astro小太阳,mitv://ns2.hellotvvod.com:9906/c61f74e0628f400488cf710372ebb76c
AwesomeTV,mitv://ns2.hellotvvod.com:9906/e568310674414edca9a826a6349fc667
BollyOne,mitv://ns2.hellotvvod.com:9906/6af79b14095d482d9a19ba6c5f8d3fb8
DramaSangat,mitv://ns2.hellotvvod.com:9906/76dd5ab7008a436b853724c4dade5571
LUXETV,mitv://ns2.hellotvvod.com:9906/de135697629e4ac3913049b4f3e377e3
NTV7,mitv://ns2.hellotvvod.com:9906/0e13f4ba635a4c51ba28c84136f9e0da
Oh!K,mitv://ns2.hellotvvod.com:9906/2428a8f3d060452d8a34d690781d2aeb
PrimeTimeChannel,mitv://ns2.hellotvvod.com:9906/1ce34a223d144568a39d3cd66266f9ee
TA-DAA!,mitv://ns2.hellotvvod.com:9906/2b57f29c35194e65b0a15a11e78cf104
TV1,mitv://ns2.hellotvvod.com:9906/214c44d356874a4388949095d7461a24
TV2,mitv://ns2.hellotvvod.com:9906/3ee5d1232f9540c3b27245656f9d6f48
TV3,mitv://ns2.hellotvvod.com:9906/60792fb5c59a4c22b4d38cb6f7cf46de
TV5,mitv://ns2.hellotvvod.com:9906/678bdf4c01ea449790d73b13548c5d4c
TV5Monde,mitv://ns2.hellotvvod.com:9906/2f0199b7ade54a2e8d018ac259ac6cb5
TV5MONDEStyle生活时尚,mitv://ns2.hellotvvod.com:9906/031ca01822864fa1b8e4248ce35b5fe5
TV9,mitv://ns2.hellotvvod.com:9906/8405a9ce683248708acbac791da6c3c0
TVS,mitv://ns2.hellotvvod.com:9906/81e7d1a75f874530be571d63cd7121b7
爱奇艺,mitv://ns2.hellotvvod.com:9906/70f60622dd2946da8d0baf69cd8a0963
AmarinTV,mitv://ns2.hellotvvod.com:9906/e2b49f343df34ee199f776780ce07bb1
Channel3,mitv://ns2.hellotvvod.com:9906/94c91608c1174921ab5d6206172a3b9c
Channel4050,mitv://ns2.hellotvvod.com:9906/46cbd09904354cde80338cd4b6a20c05
Channel5,mitv://ns2.hellotvvod.com:9906/16c0058d68ac462e986d7cf573cce5a3
Channel7,mitv://ns2.hellotvvod.com:9906/1880b379a1264c36963ef92244b59fbe
Channel8,mitv://ns2.hellotvvod.com:9906/8167457c05b041689ee4e4c50449e6ca
ChuttiTV,mitv://ns2.hellotvvod.com:9906/b2cc92ce7aca4194933100791c25aa43
ColorsHindi,mitv://ns2.hellotvvod.com:9906/7473f2a5d1ee434183e43f11c2480b68
ColorsTamil,mitv://ns2.hellotvvod.com:9906/c258fb2bd64141a386057a58d276827b
GMA,mitv://ns2.hellotvvod.com:9906/8657079bb1954edcaf10f2b32c8504cc
GMM25,mitv://ns2.hellotvvod.com:9906/72ea4447f41443609e45c2a645b256eb
JanamTV,mitv://ns2.hellotvvod.com:9906/cabf6fa6b9ad4c1ea29094f8330abbaf
JKN18,mitv://ns2.hellotvvod.com:9906/903ca43c4fb043c4952d393bbbed5540
MCOT,mitv://ns2.hellotvvod.com:9906/f5187f1284014c008bb8076a81c0c997
Mono29,mitv://ns2.hellotvvod.com:9906/b0348cf14f4045e0861c6806092db67d
NBT,mitv://ns2.hellotvvod.com:9906/74d7443413d3477f9d96e36b92b5db22
ONE,mitv://ns2.hellotvvod.com:9906/5f3e654dd94845c6a9c79bea118bc8c0
ONE,mitv://ns2.hellotvvod.com:9906/a5bda4ee6792433fb7ac30e998910826
PPTV,mitv://ns2.hellotvvod.com:9906/345f4a716b7e4fd2814fdb43b35f34c7
ThaiParliamentTV,mitv://ns2.hellotvvod.com:9906/b0e952621aa94bf69070fab68e54eb61
ThaiPBS,mitv://ns2.hellotvvod.com:9906/452eec6b340945b7bc29860c8b365fcd
ThairathTV,mitv://ns2.hellotvvod.com:9906/2147fe3097494428ad785cdb93440f5b
TNN16,mitv://ns2.hellotvvod.com:9906/4ee8fbe1cc1d4bd69af5f429498495ec
Toonee,mitv://ns2.hellotvvod.com:9906/b4bcbbeb272642519105a2a99065a5bf
TopNews,mitv://ns2.hellotvvod.com:9906/6d9b38da79db41d891d69ea29f387a50
true4U,mitv://ns2.hellotvvod.com:9906/f6d20035fcc54a4585786e375b75f51b
TVOkey,mitv://ns2.hellotvvod.com:9906/b850c6b2ad2445e8abb9a24c22f35140
VoiceTV,mitv://ns2.hellotvvod.com:9906/68b78f0f3d6a4e22a2da0054976c7c58
WorkpointTV,mitv://ns2.hellotvvod.com:9906/481b2da770b8484ab291f2b8a86abff9
ZeeNung,mitv://ns2.hellotvvod.com:9906/31330af0f077473ab446024e786ef2fe
ZeeTamil,mitv://ns2.hellotvvod.com:9906/13e14e9cdec641398889dca8bc6694e6
BS-1,mitv://ns2.hellotvvod.com:9906/8d0806356f5c4764bb515340d9a302ed
BS11,mitv://ns2.hellotvvod.com:9906/fa35109d8068440f892fd7f66b06c373
BS12,mitv://ns2.hellotvvod.com:9906/d1ad4cd619ee4301b0f42cf4b19e225c
BS-TBS,mitv://ns2.hellotvvod.com:9906/0ace30ccd4924caeb5bbfe1351597a75
BSアニマックス,mitv://ns2.hellotvvod.com:9906/39fe13f7bd36434abc5fc49212a31d40
BSフジ,mitv://ns2.hellotvvod.com:9906/c83b4807f28f43e39a9e7bacb792a4ca
BSプレミアム,mitv://ns2.hellotvvod.com:9906/851f5eafdd234bf0a87e8bb41a6002d1
BS朝日,mitv://ns2.hellotvvod.com:9906/ea940b2f11db4827a320140f242d49c4
BS钓りビジョン,mitv://ns2.hellotvvod.com:9906/73d5bd05bdb94597b18aa799d49838de
NHK-E教育,mitv://ns2.hellotvvod.com:9906/cacf60af05a949e39690b422d8604950
NHK-G综合,mitv://ns2.hellotvvod.com:9906/4af5d946006d4fe6a9dc17bbd4afa4bf
NHK新闻资讯台,mitv://ns2.hellotvvod.com:9906/ea5d23df05554943ad247fea9ce336cc
TBSテレビ,mitv://ns2.hellotvvod.com:9906/637aab3e2b264b57af81702d4b7d4c2a
WAKUWAKUJAPAN,mitv://ns2.hellotvvod.com:9906/449e1202e734499db269d35a0e1d68e4
WOWOWシネマ,mitv://ns2.hellotvvod.com:9906/1a2bae966ca04ecda9b5ec0121b8b744
WOWOWプライム,mitv://ns2.hellotvvod.com:9906/86c2f45e57cb4dcfb0dace5a2d254783
WOWOWライブ,mitv://ns2.hellotvvod.com:9906/2aad5e24607648ebb3b62ba4e166495a
キッズステーションHD,mitv://ns2.hellotvvod.com:9906/ac803f432b2d41958530244f2a188c73
ゴルフネットワークHD,mitv://ns2.hellotvvod.com:9906/33088e4da1a84ea4979ea11769cb6c11
スターチャンネル1,mitv://ns2.hellotvvod.com:9906/b9da85615e3241e89f473ff1f92aa7ea
スターチャンネル2,mitv://ns2.hellotvvod.com:9906/508fc836c767426a9f4d6691730f1a77
スターチャンネル3,mitv://ns2.hellotvvod.com:9906/6a5e4ade9e74493a9424d41a3585dc2e
チャンネル银河,mitv://ns2.hellotvvod.com:9906/be34a640870f4a609684ce065f5927de
ディスカバリーチャンネル,mitv://ns2.hellotvvod.com:9906/644c10163d9746488a6080db2652bb74
テレビ朝日,mitv://ns2.hellotvvod.com:9906/b75da0de095a4d8cac3fe662cf01a53f
テレビ大阪,mitv://ns2.hellotvvod.com:9906/abf2d237a4174ed798f7d4b197593a10
テレビ东京,mitv://ns2.hellotvvod.com:9906/a3ffa87409744766b4119964b407a69c
ナショナルジオグラフィック,mitv://ns2.hellotvvod.com:9906/b382d4e1bef1414d8e66ae26975a31cd
フジテレビ,mitv://ns2.hellotvvod.com:9906/7c5763fc6a194b619ec18d30c270fd40
朝日放送,mitv://ns2.hellotvvod.com:9906/dad4bf65c0b14c7e86d7f5a8dd519080
読売テレビ,mitv://ns2.hellotvvod.com:9906/11f808a92d9c42268cb18b57ee9ff570
関西テレビ,mitv://ns2.hellotvvod.com:9906/516491a4f2ee44d29d93163667d8ccbd
旅チャンネル,mitv://ns2.hellotvvod.com:9906/f865481325f94a879c8331d8cf98fdb6
毎日放送,mitv://ns2.hellotvvod.com:9906/71c699806f8844bb8c77699fe9c61155
日テレNEWS24,mitv://ns2.hellotvvod.com:9906/2a267c48fba54696b9e4ec5dd07b3039
日本テレビ,mitv://ns2.hellotvvod.com:9906/6b5131c39b0c4358b01c6f1c3c1027b9
ABCAustralia,mitv://ns2.hellotvvod.com:9906/89ad8233011348deb7c6990dd601db4b
AlJazeeraEnglish,mitv://ns2.hellotvvod.com:9906/fa8b443dfb8343ec8115e6b415218ca2
BBCWorldNews,mitv://ns2.hellotvvod.com:9906/a7e03031ab1b4dc48a611cce0c8bdf4c
BeritaRTM,mitv://ns2.hellotvvod.com:9906/d409568367f44e0084be274817307587
BERNAMA,mitv://ns2.hellotvvod.com:9906/74ff71fbce5c421aadebd72e37b38ee7
BloombergTV,mitv://ns2.hellotvvod.com:9906/18ede2f1d20f47ffb2f3d5334344aae4
Bluesky,mitv://ns2.hellotvvod.com:9906/1ed5d15bf6de4e969c29c9a0c604f39c
Boomerang,mitv://ns2.hellotvvod.com:9906/eb700de87cd644288d715092d647cfb6
Boomerang,mitv://ns2.hellotvvod.com:9906/f8b3ab08cc344d6da2cd87d916f4a8ba
CBSN,mitv://ns2.hellotvvod.com:9906/841c1b6fa97c46119edeaf7f054d5587
CGTN,mitv://ns2.hellotvvod.com:9906/a58e08e415fc449185eb5155421ab3f4
CNBC,mitv://ns2.hellotvvod.com:9906/fd00547a8c214c8b8445d84a85be2122
CNBCAwaaz,mitv://ns2.hellotvvod.com:9906/8c21569427bf4714b3c99a01f1aa685f
CNN,mitv://ns2.hellotvvod.com:9906/77a1d607c2044ee29227049b33f7e27a
DW,mitv://ns2.hellotvvod.com:9906/88c972d867e246a9902ea5490523f3c8
Euronews,mitv://ns2.hellotvvod.com:9906/f85f3e728f3147de91b36152e3654ec0
FOX,mitv://ns2.hellotvvod.com:9906/9a27246a05f0460aace2b0ee34318714
FoxNews,mitv://ns2.hellotvvod.com:9906/a38c7d4ad78f4f888628b30efc7ae213
France24,mitv://ns2.hellotvvod.com:9906/03003d73acfe4050973420d63eb74f74
News1,mitv://ns2.hellotvvod.com:9906/29322c176c684e04b5159b0c3bfcdb64
SkyNews,mitv://ns2.hellotvvod.com:9906/57df836f89bb496481845cdd638301af
BBCEarth,mitv://ns2.hellotvvod.com:9906/013e068b13b74a7eb8294fdd371cd1d0
BBCLifestyle,mitv://ns2.hellotvvod.com:9906/8433f4f630b44424a54d2c96339d4288
