数字频道,#genre#
CIBN-骄阳剧场,http://211.94.219.178:18080/PLTV/68/224/3221226423/index.m3u8
CIBN-微电影,http://211.94.219.178:18080/PLTV/68/224/3221226441/index.m3u8
CIBN-微电影,http://117.148.179.157/PLTV/88888888/224/3221231586/index.m3u8
CIBN-纪录片,http://211.94.219.178:18080/PLTV/68/224/3221226437/index.m3u8
CIBN-纪录片,http://117.148.179.154/PLTV/88888888/224/3221231594/index.m3u8
CIBN-流金岁月,http://211.94.219.178:18080/PLTV/68/224/3221226425/index.m3u8
CIBN-流金岁月,http://117.148.179.158/PLTV/88888888/224/3221231664/index.m3u8
CIBN-时尚生活,http://117.148.179.183/PLTV/88888888/224/3221231489/index.m3u8
CIBN-风尚运动,http://211.94.219.178:18080/PLTV/68/224/3221226429/index.m3u8
CIBN-真人秀,http://211.94.219.178:18080/PLTV/68/224/3221226416/index.m3u8
CIBN-动画乐园,http://211.94.219.178:18080/PLTV/68/224/3221226406/index.m3u8
#__#
SiTV动漫秀场,http://39.134.39.39/PLTV/88888888/224/3221226197/index.m3u8
SiTV都市剧场,http://39.134.39.39/PLTV/88888888/224/3221226176/index.m3u8
#__#
黑莓电竞,http://39.134.66.66/PLTV/88888888/224/3221225559/index.m3u8
黑莓电影,http://183.207.249.14/PLTV/3/224/3221225567/index.m3u8
黑莓电影,http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221225567/index.m3u8
黑莓动画,http://183.207.249.15/PLTV/3/224/3221225555/index.m3u8
黑莓动画,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
#__#
求索科学,http://39.134.134.85/000000001000/6000000002000032344/1.m3u8
求索纪录,http://39.134.134.85/000000001000/6000000002000032052/1.m3u8
求索生活,http://39.134.134.85/000000001000/6000000002000003382/1.m3u8
求索动物,http://39.134.134.85/000000001000/6000000002000010046/1.m3u8
#__#
新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
纪实人文,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-shanghaijishi/HD-8000k-1080P-shanghaijishi
四海钓鱼,http://117.148.179.160/PLTV/88888888/224/3221231718/index.m3u8
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海外语,http://140.207.241.2:8080/live/program/live/wypdhd/4000000/mnf.m3u8
超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8
明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
明星大片,http://117.148.179.40/PLTV/88888888/224/3221229005/index.m3u8
明星大片,http://117.148.179.37/PLTV/88888888/224/3221229660/index.m3u8
新华中文,http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8
全纪实,http://39.134.19.131/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226580/1.m3u8
快乐垂钓,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226190/1/index.m3u8?fmt=ts2hls
四海钓鱼,http://117.148.129.14:80/PLTV/88888888/224/3221231718/1.m3u8
MAX极速汽车,http://39.134.39.39/PLTV/88888888/224/3221226195/index.m3u8
